Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.91     0.00      872     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      0.91     0.00      832     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Ant*, std::vector<ants::Ant, std::allocator<ants::Ant> > >::__normal_iterator(ants::Ant* const&)
  0.00      0.91     0.00      828     0.00     0.00  stbi__zhuffman_decode
  0.00      0.91     0.00      798     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.00      0.91     0.00      798     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  0.00      0.91     0.00      768     0.00     0.00  stbi__paeth
  0.00      0.91     0.00      673     0.00     0.00  stbi__zreceive
  0.00      0.91     0.00      616     0.00     0.00  ants::Ant& std::forward<ants::Ant&>(std::remove_reference<ants::Ant&>::type&)
  0.00      0.91     0.00      608     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Colony*, std::vector<ants::Colony, std::allocator<ants::Colony> > >::base() const
  0.00      0.91     0.00      600     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Colony const*, std::vector<ants::Colony, std::allocator<ants::Colony> > >::base() const
  0.00      0.91     0.00      508     0.00     0.00  ants::Ant&& std::forward<ants::Ant>(std::remove_reference<ants::Ant>::type&)
  0.00      0.91     0.00      500     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator()
  0.00      0.91     0.00      436     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.91     0.00      416     0.00     0.00  std::vector<ants::Ant, std::allocator<ants::Ant> >::end()
  0.00      0.91     0.00      404     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Ant const*, std::vector<ants::Ant, std::allocator<ants::Ant> > >::__normal_iterator(ants::Ant const* const&)
  0.00      0.91     0.00      404     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00      0.91     0.00      400     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::~new_allocator()
  0.00      0.91     0.00      400     0.00     0.00  std::allocator<unsigned char>::~allocator()
  0.00      0.91     0.00      400     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_deallocate(unsigned char*, unsigned long)
  0.00      0.91     0.00      400     0.00     0.00  unsigned char* std::__niter_base<unsigned char*>(unsigned char*)
  0.00      0.91     0.00      399     0.00     0.00  mINI::INIStringUtil::toLower(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)::{lambda(char)#1}::operator()(char) const
  0.00      0.91     0.00      396     0.00     0.00  stbi__fill_bits
  0.00      0.91     0.00      316     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>::type&)
